experiment,image_size,batch_size,num_workers,folder,avg,stdev
resized_image,224,32,4,train_224,136.92266135200012,2.1547934752031472
baseline,224,32,0,train,362.71380616733313,0.7640782392545994
baseline2,224,32,0,train,361.87358167299953,0.5439936312988628
number of workers,224,32,1,train,407.6185604969999,0.13750771939697362
number of workers,224,32,2,train,221.34981638000014,0.13459382207707465
number of workers,224,32,3,train,163.52506046166673,0.1850030619674404
number of workers,224,32,4,train,134.72100742666711,0.5917558155269412
number of workers,224,32,5,train,119.30566058000113,0.4323474557480564
number of workers,224,32,6,train,110.26443562533314,0.3470072646998567
number of workers,224,32,12,train,97.74738725066709,0.2716438883046337
number of workers,224,32,20,train,94.20291484233287,0.47514629202518194
batch_size,224,1,0,train,366.047360492333,1.1331345977187934
batch_size,224,8,0,train,362.00210678533284,0.38768106867529606
batch_size,224,16,0,train,361.64868382333407,0.4902950139365859
batch_size,224,32,0,train,361.19719083333257,1.1022496753765503
batch_size,224,64,0,train,363.24258986266676,0.3967017773959658
batch_size,224,128,0,train,365.5365816220001,0.5999872168409116
batch_size_plus_workers,224,128,1,train,389.04704048400043,0.21749253727592535
batch_size_plus_workers,224,128,2,train,206.13502958366735,0.3092220401031242
batch_size_plus_workers,224,128,3,train,151.89214024433386,0.4357157180678262
batch_size_plus_workers,224,128,4,train,124.36142257466538,0.6749709107347447
batch_size_plus_workers,224,128,5,train,110.70557868166604,0.5955343839552988
batch_size_plus_workers,224,128,6,train,100.93479947700204,0.4338148245252979
batch_size_plus_workers,224,128,12,train,89.527574306668,0.2534084104946246
batch_size_plus_workers,224,128,20,train,89.15582990099938,0.17081010723095763
resized_image2,224,32,4,train_224,135.13680511000106,0.6756963374371643
